algorithm_time,avg_time_points,avg_tracks,conflicting_visit_pairs,conflicts,cost,delay_cost_type,exit_code,external_status,index,iterations,lb,max_time_points,name,num_conflicts,num_time_points,num_traveltime,objective_iters,resource_iters,sol_time,solver_name,solver_time,status,time_to_best_value_ms,time_to_first_solution_ms,time_to_optimality_ms,time_to_prove_best_value_ms,total_time,trains,travel_and_resource_iters,travel_iters,ub,value_trace_version
11.576640770000001,2.503267973856209,14.800000190734863,87,25,4404,Continuous,,,37,71,4404,11,trackB2,20,383,154,71,2,12501.407202999999,SatDddSclFreshAddClauses,0.70889815,ok,4754.367137,18.958686999999998,12284.521375,12284.521375,12.285538228,5,14,41,4404,1
0.043229025000000004,2.566473988439306,16.799999237060547,136,20,749,Continuous,,,38,71,749,6,trackB3,14,444,217,71,1,51.805986999999995,SatDddSclFreshAddClauses,0.006784066,ok,17.634648,17.634648,49.525136999999994,49.525136999999994,0.050012769,5,9,51,749,1
,,15.949999809265137,2246,25,,Continuous,,,39,,,,trackB4,,,,,,46805.855772999996,SatDddSclFreshAddClauses,,oom,,,,,,20,,,,
0.06577250899999999,1.7650273224043715,17.799999237060547,136,25,1696,Continuous,,,40,37,1696,4,trackB5,10,323,100,37,1,72.221144,SatDddSclFreshAddClauses,0.004033728,ok,18.082837,18.082837,69.121487,69.121487,0.069805861,5,4,21,1696,1
0.016046148,1.7770700636942676,15.199999809265137,93,25,209,Continuous,,,41,61,209,4,trackB6,4,279,106,61,1,19.9382,SatDddSclFreshAddClauses,0.003554733,ok,16.690535,15.526297999999999,19.29359,19.29359,0.019600507,5,1,50,209,1
,,15.25,2865,25,,Continuous,,,42,,,,trackB7,,,,,,59525.906952,SatDddSclFreshAddClauses,,oom,,,,,,24,,,,
1.38715367,2.2302158273381294,13.399999618530273,72,25,2149,Continuous,,,43,63,2149,6,trackB8,10,310,131,63,2,1490.485825,SatDddSclFreshAddClauses,0.077192786,ok,433.37828099999996,16.622387999999997,1463.62482,1463.62482,1.464346163,5,5,43,2149,1
5.708398295,3.700507614213198,13.571428298950195,150,25,11706,Continuous,,,44,79,11706,12,trackB9,41,729,378,79,1,5878.969914,SatDddSclFreshAddClauses,0.009727976,ok,31.912327999999995,31.912327999999995,5717.377143000001,5717.377143000001,5.718125952,7,28,36,11706,1
0.279669469,1.3155080213903743,12.857142448425293,126,25,7941,Continuous,,,45,34,7941,3,trackB10,4,246,43,34,1,292.337945,SatDddSclFreshAddClauses,0.003979272,ok,22.762717,22.762717,282.83192099999997,282.83192099999997,0.283648445,7,1,19,7941,1
,,15.399999618530273,3202,25,,Continuous,,,46,,,,trackB11,,,,,,58686.563854,SatDddSclFreshAddClauses,,oom,,,,,,25,,,,
,,,,,,cont,137,killed,47,,,,trackB12,,,,,,170053,sat_ddd_scl_fresh_addclauses,,killed,,,,,170.053,,,,,
20.272198383000003,3.1319388576025746,20.931034088134766,5915,33,16493,Continuous,,,48,92,16493,12,stationA1,197,3893,1923,92,1,25085.380737,SatDddSclFreshAddClauses,4.180117683,ok,79.045736,79.045736,24451.334266,24451.334266,24.45231569,29,59,17,16493,1
48.102202008999996,4.72,19.0,3735,33,12748,Continuous,,,49,148,12748,42,stationA2,362,4602,2356,148,2,82230.225766,SatDddSclFreshAddClauses,32.508769696,ok,163.520417,163.520417,80609.80989399999,80609.80989399999,80.610971347,25,111,21,12748,1
54.291552964,4.050546448087432,22.375,2061,33,5387,Continuous,,,50,116,5387,16,stationA3,128,2965,1760,116,1,83261.27698099999,SatDddSclFreshAddClauses,28.020304601,ok,42.206455,42.206455,82310.47243400001,82310.47243400001,82.311857254,16,54,48,5387,1
0.596818261,1.9764492753623188,19.214284896850586,1175,33,3939,Continuous,,,51,57,3939,7,stationA4,30,1091,420,57,1,679.057228,SatDddSclFreshAddClauses,0.060247045,ok,24.581327,24.581327,656.283795,656.283795,0.657064945,14,11,33,3939,1
3.391036681,2.7320675105485233,19.25,876,33,4176,Continuous,,,52,75,4176,15,stationA5,58,1295,597,75,2,3930.269402,SatDddSclFreshAddClauses,0.455517602,ok,25.02363,25.02363,3846.074407,3846.074407,3.846553964,12,32,28,4176,1
0.105210861,1.434640522875817,18.625,307,33,2528,Continuous,,,53,50,2528,4,stationA6,6,439,109,50,1,114.852047,SatDddSclFreshAddClauses,0.004736898,ok,29.430549,29.430549,109.446235,109.446235,0.109947405,8,2,35,2528,1
0.223909404,1.8904761904761904,12.625,126,33,2725,Continuous,,,54,67,2725,4,stationA7,10,397,149,67,1,238.76424500000002,SatDddSclFreshAddClauses,0.007953868,ok,17.610048,17.610048,230.95876800000002,230.95876800000002,0.231862982,8,5,49,2725,1
,,19.88888931274414,4862,33,,Continuous,,,55,,,,stationA8,,,,,,25613.15338,SatDddSclFreshAddClauses,,oom,,,,,,27,,,,
